date,open,close,high,low,volume,code
2015-01-26,12.09,11.84,12.099,11.615,2162685.0,000002
2015-01-27,11.814,11.39,11.857,11.114,2804018.0,000002
2015-01-28,11.33,11.235,11.468,11.131,1561743.0,000002
2015-01-29,10.975,11.243,11.382,10.906,1468303.0,000002
2015-01-30,11.312,11.338,11.658,11.062,2096247.0,000002
2015-02-02,11.053,11.131,11.572,10.785,1976760.0,000002
2015-02-03,11.157,11.2,11.347,10.63,2936871.0,000002
2015-02-04,11.148,11.062,11.373,11.036,1660872.0,000002
2015-02-05,11.572,10.975,11.693,10.958,3160360.0,000002
2015-02-06,10.906,10.509,10.906,10.353,3163186.0,000002
2015-02-09,10.396,10.526,10.656,10.146,1278024.0,000002
2015-02-10,10.466,10.733,10.777,10.414,1077456.0,000002
2015-02-11,10.803,10.725,10.924,10.664,878329.0,000002
2015-02-12,10.725,10.777,10.846,10.543,895267.0,000002
2015-02-13,10.837,11.027,11.243,10.656,1968043.0,000002
2015-02-16,10.941,10.924,11.027,10.828,1308144.0,000002
2015-02-17,10.984,11.036,11.088,10.906,1198783.0,000002
2015-02-25,11.036,10.716,11.036,10.656,1498051.0,000002
2015-02-26,10.716,11.105,11.105,10.673,1733762.0,000002
2015-02-27,11.036,11.019,11.209,10.967,1246318.0,000002
2015-03-02,11.252,11.036,11.321,10.915,3225633.0,000002
2015-03-03,10.906,10.543,10.915,10.509,2365535.0,000002
2015-03-04,10.543,10.561,10.699,10.405,1647137.0,000002
2015-03-05,10.448,10.284,10.509,10.206,1793786.0,000002
2015-03-06,10.284,10.319,10.483,10.267,1105036.0,000002
2015-03-09,10.198,10.561,10.682,9.964,2044228.0,000002
2015-03-10,10.448,10.388,10.509,10.345,1077109.0,000002
2015-03-11,10.388,10.31,10.543,10.258,1153733.0,000002
2015-03-12,10.422,10.561,10.621,10.336,1818728.0,000002
2015-03-13,10.604,10.569,10.716,10.509,1334069.0,000002
2015-03-16,10.682,10.794,10.828,10.595,1753781.0,000002
2015-03-17,10.88,10.915,11.01,10.811,2128349.0,000002
2015-03-18,10.932,11.356,11.407,10.932,2895467.0,000002
2015-03-19,11.304,11.122,11.304,11.027,2129788.0,000002
2015-03-20,11.191,11.356,11.537,11.045,3494016.0,000002
2015-03-23,11.494,11.546,11.796,11.459,3313611.0,000002
2015-03-24,11.554,11.278,11.563,11.114,2656169.0,000002
2015-03-25,11.269,11.045,11.269,10.967,2073761.0,000002
2015-03-26,10.967,11.191,11.278,10.863,2090007.0,000002
2015-03-27,11.39,11.537,11.537,11.252,3441589.89,000002
2015-03-30,11.58,12.306,12.514,11.39,6361647.0,000002
2015-03-31,12.833,11.943,12.937,11.796,7481473.0,000002
2015-04-01,11.866,11.857,11.978,11.641,3758034.0,000002
2015-04-02,11.891,11.745,12.03,11.606,3199246.0,000002
2015-04-03,11.589,11.624,11.649,11.399,3565631.0,000002
2015-04-07,11.649,11.857,11.866,11.554,3753195.0,000002
2015-04-08,11.857,11.943,12.03,11.589,4489815.0,000002
2015-04-09,11.952,12.652,12.807,11.675,7171546.0,000002
2015-04-10,12.341,12.375,12.505,12.159,4248942.0,000002
2015-04-13,12.462,12.419,12.635,12.289,4074305.0,000002
2015-04-14,12.384,12.203,12.496,12.099,3276759.0,000002
2015-04-15,12.185,12.012,12.254,11.935,2784022.0,000002
2015-04-16,11.961,12.358,12.358,11.9,3346233.0,000002
2015-04-17,12.548,12.678,12.894,12.367,5846092.0,000002
2015-04-20,12.773,12.28,13.049,12.263,5933164.0,000002
2015-04-21,12.237,12.514,12.574,12.116,3743243.0,000002
2015-04-22,12.531,12.859,12.894,12.453,4468763.0,000002
2015-04-23,13.093,12.756,13.179,12.661,4717331.0,000002
2015-04-24,12.514,12.462,12.704,12.228,3620661.0,000002
2015-04-27,12.453,12.704,12.704,12.358,4225620.0,000002
2015-04-28,12.661,12.263,12.669,12.194,3866039.0,000002
2015-04-29,12.159,12.306,12.47,12.038,2773328.0,000002
2015-04-30,12.384,12.617,12.903,12.28,5411486.0,000002
2015-05-04,12.635,12.574,12.782,12.445,3091768.0,000002
2015-05-05,12.626,11.9,12.643,11.77,3285524.0,000002
2015-05-06,11.952,11.719,12.142,11.589,2521719.0,000002
2015-05-07,11.701,11.762,11.909,11.649,1754222.0,000002
2015-05-08,11.84,11.926,11.935,11.641,1978575.0,000002
2015-05-11,12.099,12.159,12.185,11.935,3653074.0,000002
2015-05-12,12.133,12.03,12.133,11.952,2547328.0,000002
2015-05-13,12.038,12.704,12.894,11.866,5805461.0,000002
2015-05-14,12.877,12.609,13.482,12.557,7786253.0,000002
2015-05-15,12.712,12.237,12.773,12.09,3391408.0,000002
2015-05-18,12.09,11.961,12.09,11.84,2365271.0,000002
2015-05-19,11.995,12.237,12.324,11.926,2581797.0,000002
2015-05-20,12.254,12.142,12.427,12.082,3055941.0,000002
2015-05-21,12.168,12.228,12.358,12.021,2540510.0,000002
2015-05-22,12.28,12.522,12.6,12.228,3801245.0,000002
2015-05-25,12.557,12.98,13.075,12.557,4465669.0,000002
2015-05-26,13.196,13.628,13.715,12.842,6561485.0,000002
2015-05-27,13.525,13.309,13.698,13.283,4124448.0,000002
2015-05-28,13.404,12.401,13.516,12.107,4503202.0,000002
2015-05-29,12.401,12.401,12.574,12.082,2845316.0,000002
2015-06-01,12.427,12.859,12.911,12.315,3100399.0,000002
2015-06-02,12.963,12.79,12.972,12.574,2678691.0,000002
2015-06-03,12.816,13.006,13.119,12.574,3013718.0,000002
2015-06-04,13.024,12.954,13.266,12.211,3752068.0,000002
2015-06-05,13.093,13.456,13.611,12.972,5641505.0,000002
2015-06-08,13.482,13.896,14.017,13.369,5849615.0,000002
2015-06-09,13.966,13.533,14.043,13.386,4257386.0,000002
2015-06-10,13.335,13.412,13.611,13.266,2829564.0,000002
2015-06-11,13.309,13.24,13.412,13.093,2317570.0,000002
2015-06-12,13.266,13.378,13.533,13.222,2467936.0,000002
2015-06-15,13.378,12.92,13.395,12.885,2741810.0,000002
2015-06-16,12.894,12.427,12.903,12.324,2668429.0,000002
2015-06-17,12.462,12.6,12.617,12.185,2186123.0,000002
